,Neighborhood,District,Latitude,Longitude
75,Central Waterfront,Downtown,47.6038321,-122.3300624
76,West Edge,Downtown,47.6063396,-122.337632
78,Mann,Central Area,47.60883185,-122.3374192
80,Cherry Hill & Squire Park,Minor,47.6265943,-122.332267
82,Judkins Park,Atlantic,47.59029595,-122.3045132
84,Madrona Valley,Madrona,47.6127915,-122.2912264
86,Washington Park,Central Area,47.6275672,-122.2874862
87,Leschi,Central Area,47.6005352,-122.2918664
90,Mount Baker,Rainier Valley,47.5785522,-122.2895262
91,Columbia City,Rainier Valley,47.5579124,-122.2852162
92,Hillman City,Rainier Valley,47.5524351,-122.2749152
93,Brighton,Rainier Valley,47.5462102,-122.2756794
94,"Dunlap, Othello",Rainier Valley,47.5314881,-122.2695679
95,Rainier Beach,Rainier Valley,47.5224207,-122.2793976
96,Rainier View,Rainier Valley,47.5750765,-121.873605
98,Lakewood,Seward Park,47.5631545,-122.2717906
100,North Beacon Hill,Beacon Hill,47.5775857,-122.3099603
101,Mid Beacon Hill,Beacon Hill,47.57925785,-122.3115977
102,Holly Park,Beacon Hill,47.5416501,-122.291929
103,South Beacon Hill,Beacon Hill,47.5775857,-122.3099603
105,SoDo,Industrial District,47.5812603,-122.3274051
106,Harbor Island,Industrial District,47.5798609,-122.3518815
107,Georgetown,South End,47.5489326,-122.3300573
108,South Park,South End,47.5264675,-122.3229131
110,Alki Point,West Seattle,47.5762895,-122.4207968
111,North Admiral,West Seattle,47.5811953,-122.3865457
112,Junction,West Seattle,47.544872,-122.3872148
113,Seaview,West Seattle,47.6712824,-122.4052826
114,Fairmount Park,West Seattle,47.5798512,-122.3822514
115,Genesee,West Seattle,47.5648206,-122.3679048
116,Gatewood,West Seattle,47.5365596,-122.385326
117,Fauntleroy,West Seattle,47.5223995,-122.3934168
118,Arbor Heights,West Seattle,47.512899,-122.3813585
120,North Delridge,Delridge,47.5521233,-122.3638741
121,Pigeon Point,Delridge,47.5711631,-122.3592519
122,Riverview,Delridge,47.5393827,-122.3491887
123,Highland Park,Delridge,47.528432,-122.3526261
124,South Delridge,Delridge,47.5521233,-122.3638741
125,Roxhill,Delridge,47.5192141,-122.3685985
126,High Point,Delridge,47.5384514,-122.3773869
